Nom,Description,Ethnie,Pays,Materiaux,Hauteur_cm,Largeur_cm,Poids,Datation,img,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,img_11,img_12
"
                        Corne rituelle Bamileke  ","
Ex-collection d' art africain  Camerounaise.

Chez les Bamiléké comme dans d'autres groupes ethniques, les objets d' art africain  témoignaient de la place de leur propriétaire dans la société. Les matériaux et les formes des objets variaient selon le statut social. Cette coupe à vin de palme était utilisée par les notables afin de conclure des accords lors de cérémonies rituelles.
 Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun, le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du Fon qui disposerait de larges pouvoirs.
                         
                    ",Bamileke,cameroun,"Bois, fourrure animale, cuir, raphia",52,12 cm,"1,17 Kg",Oui,https://www.galerie-art-africain.com/photos-art-africain/25460/66633460-678e-4be4-b44e-b44bfe81d26b/Corne-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/25460/66633460-678e-4be4-b44e-b44bfe81d26b/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/f93e5159-f247-42d3-a688-54383934e187/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/fcad28cb-e4f3-47d0-b025-a6278b9c1c5c/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/d392ed5d-269d-4927-827e-b955d27f944f/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/66ed6c51-2423-4a1a-916c-db2c7870c330/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/61914501-e79f-4df1-8dc8-c5579b89e836/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/38b6d8a5-f4cc-4bf3-9480-63b9be977f86/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/adfd2888-cdbc-49c9-aebb-cf7c98ee0db7/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/8132af96-f8b8-4080-aa9e-b94d50a68469/Corne-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25460/d56b016b-dc9b-4d2e-83dd-bea5452502d2/Corne-Bamileke-Art-Africain_th.jpg', None)", , 
"
                        Siège de dignitaire Bamileke Kuo koko ","
Dans l' art africain , les Bamiléké démontrent leur savoir-faire par l'usage de perles multicolores.


Ce siège monoxyle ayant l'apparence d'une table, nommé   rü mfo   chez les Bamum, présente des motifs figuratifs humains que des coloris contrastés valorisent.
Une structure de base est sculptée dans le bois pour ensuite être recouverte, au-dessus d'une toile de rabane, d'un treillis de perles multicolores importées. br>
 
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun ,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun, ou Bamum et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes,s'organisent autour du  Fon qui dispose de larges pouvoirs.
Chez les Bamilékés d'origine Soudano-Bantous comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Les sièges, dont l'ornementation variait selon le statut social, étaient sculptés pour l'usage courant ou pour les réunions des Sociétés Coutumières. 
(Les Bamiléké, R. Lecoq)
                         
                    ",Bamileke,cameroun,"Bois, perles",50,55 cm,"25,00 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/21530/2271cd78-5dc0-4a4f-b0cc-945b96d5e22d/Table-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/21530/2271cd78-5dc0-4a4f-b0cc-945b96d5e22d/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21530/ad5ea28d-78ab-4f61-9a39-497f1f680f23/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21530/843a3879-789e-4b26-9f9a-49183da0ea6c/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21530/1adabccd-9d96-43aa-8144-bbb25b04efc2/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21530/a45b7be1-85e6-4cac-903b-0d2fb27e05ab/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21530/1baf1a87-5854-45b5-9279-527774c77ffb/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21530/6207b81a-b061-42b5-9b7d-55b4bed10a61/Table-Bamileke-Art-Africain_th.jpg', None)", , , , , 
"
                        Coiffe à plumes Bamileke ","
Les somptueuses coiffes Bamileke dans l' art africain  . Parure africaine de prestige, portée par les notables, cet exemplaire offre une garniture de plumes rouge foncé.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/25262/03154c88-acc4-40ad-830a-cff46ebe72dd/Chapeau-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/25262/03154c88-acc4-40ad-830a-cff46ebe72dd/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25262/dc15c7c2-5d43-4347-b6f5-19cf5dc69c05/Chapeau-Bamileke-Art-Africain_th.jpg', None)", , , , , , , , , , 
"
                        Masque éléphant Bamileke Mbap mteng ","
Collection d' art africain  Camerounaise.


Au sein de la société  bamileke, ces  masques africains composés d'épais pans brodés étaient portés par des membres de haut rang. Le visage est surmonté d'une tiare en vannerie gansée de textile, ornée de motifs stylisés animaliers.
Exhibés à l'occasion des funérailles de certains guerriers, le porteur en agitait les oreilles et simulait la charge de l'éléphant. 
La société bamileke disposait de plusieurs associations initiatiques dont les mwola et les komiyo, ce sont ces sociétés dont sont issus les hommes autorisés à porter ces masques.
C'est à l'occasion de la danse de l'éléphant,  tso ,que les membres de la société  Kuosi ,  Kwosi , arboraient d' impressionnantes coiffes à plumes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires , mbap mteng ,d'une étoffe de tissu,  ndop , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles.

                         
                    ",Bamileke,cameroun,"Textile, perles",185,65 cm,"5,32 Kg",Circa 1960,https://www.galerie-art-africain.com/photos-art-africain/25299/2a594122-0dc2-4474-b308-3be625914355/Masque-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/25299/2a594122-0dc2-4474-b308-3be625914355/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/51a01a63-b71d-4a95-85eb-09ee16105311/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/23462024-4762-4803-a0ec-de76f89d49fe/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/388da728-e86f-40dd-952b-1f6bc7fcd49b/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/4756ba59-b435-4623-a344-4123407aeb86/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/81968517-bb06-48c1-b968-c825a05f0fe3/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/8bebea59-b096-494d-994a-eead31b41be1/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/ade12e47-b8be-473a-abb4-4f40ac91400f/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/fd631159-4136-4ccf-950a-4dc9d34a9369/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/bc5835ee-3327-4ad6-a716-0abf63c5c934/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/853de2ae-5f18-438c-b542-3367729537f5/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25299/c0ca7865-8b41-42b4-bfa0-db0ead17378c/Masque-Bamileke-Art-Africain_th.jpg', None)"
"
                        Coiffe à plumes Bamileke ","
Collection d' art africain  belge.

Les Somptueuses  coiffes africaines  Bamileke  dans l' art tribal . Eclatante parure africaine de prestige, portée par les notables, de couleur rouge. br />

C'est à l'occasion de la danse de l'éléphant,  tso  ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers , la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social.
                         
                    ",Bamileke,cameroun,"Vannerie, textile, plumes",49,18 cm,49 cm,"0,48 Kg",https://www.galerie-art-africain.com/photos-art-africain/25261/5c77528d-99dc-427f-abd1-c422d4a16905/-Juju--Hat-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/25261/5c77528d-99dc-427f-abd1-c422d4a16905/-Juju--Hat-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25261/74eba4ad-6821-49c9-ab68-bf065e1c2e76/-Juju--Hat-Art-Africain_th.jpg', None)", , , , , , , , , , 
"
                        Double cloche rituelle Bamileke Kwifoyn ","
Collection art africain Camerounaise.Armes, bijoux, monnaies, les objets métalliques sont indissociables de l'art africain traditionnel. La métallurgie est en effet intimement associée aux mythes fondateurs dans de nombreuses cultures africaines, tels des forgerons devenus rois (Zaïre), le marteau enclume étant le symbole du pouvoir chez les Luba. 
Accessoires de culte, les gongs en alliage métallique, certains très décorés, revêtent une grande diversité de formes. Ce double gong, dans sa simplicité, constituait un instrument sacré et l'emblème d'une des nombreuses sociétés masculines des populations du  Grassland, la  Kwifoyn , dont le siège jouxtait le palais royal. Le tintement des baguettes en bois sur le métal creux annonçait le début de cérémonies: la communication avec le monde surnaturel, ancêtres, divinités, pouvait s'établir. Egalement objets de prestige, elles accompagnaient le respect dû aux chefs.
Pièce ancienne, usures d'usage, épaisse patine croûteuse.



Source : ""Rois et sculpteurs de l'Ouest cameroun"" Perrois et Notué.

                         
                    ",Bamileke,cameroun,"Vannerie, fer noir",47,31 cm,"2,37 Kg",Mi-XX°,https://www.galerie-art-africain.com/photos-art-africain/17911/43a7ead2-83c6-4fef-a837-667670fe1a91/Gong-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/17911/43a7ead2-83c6-4fef-a837-667670fe1a91/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/9df10fa4-2bde-4c1a-a5e1-cf4722a4f02e/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/9192309c-873f-40c2-b955-4ad86ed55502/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/0e3c8203-b390-412d-8b9e-a9928cea8b77/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/1b1b38a5-db6d-4140-bd58-acbdb46e354d/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/96b5f6f1-6b28-459e-bd5e-033461361dd3/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/a2a8e86e-750c-431f-9ada-03364a5e3e91/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/ced86726-335e-4603-b6e5-c4a600355ec3/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/c9d40d59-c28c-4bcf-a4ad-ebaadccb3475/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/a2834bee-3887-4213-8934-540b16f2c119/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/b33489b4-d258-4873-acad-4ff023e10c90/Gong-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17911/01f6e9fe-76a2-4c3c-891b-3c185df2f193/Gong-Bamileke-Art-Africain_th.jpg', None)"
"
                        Petit fétiche Bamileke en os ","
Chez les Bamiléké comme dans d'autres groupes ethniques, les objets d' art africain  témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social.
 Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun, le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du Fon qui disposerait de larges pouvoirs.
                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/24820/0f3d7101-1f96-4197-9090-05ddb1d93155/Amulette-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/24820/0f3d7101-1f96-4197-9090-05ddb1d93155/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/aa303da4-6831-4cb8-8c7f-eeab9a9e2ec2/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/9c51f2d1-dd39-4741-ab14-e5f9e3e155e5/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/7545d500-a878-402e-bf78-8a64567e51ab/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/6ec90ff9-80c6-4731-a199-87d36cd3bf31/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/507701ea-1bb3-430f-8b97-b0fc67a3aa54/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/9d6ae31a-4400-4993-8dcb-1c5f44f5db0a/Amulette-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24820/99ad70fb-c7a3-4505-bd0f-6a6ed4cec8a3/Amulette-Bamileke-Art-Africain_th.jpg', None)", , , , 
"
                        Statue perlée Bamileke ","
Couleurs et chefferies dans l' art africain .


Cette  figure africaine  sculptée ("" N'Kétuok "") représentant une ancêtre féminine aux formes galbées a  été sculptée en bois puis enveloppée d'une toile de rabane incrustée de perles de verre importées.  Quelques perles sont décollées. br />

Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi  Bamiléké , également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ",Bamileke,cameroun,"Bois, perles, toile",43,16 cm,"1,42 Kg",circa 1960,https://www.galerie-art-africain.com/photos-art-africain/25083/54b61319-242a-4090-b195-da007862befa/Statue-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/25083/54b61319-242a-4090-b195-da007862befa/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/5967369d-9c60-44f4-aeed-856119ad4614/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/9d448c03-fbe8-4f79-8fe1-8d4e7380cfbf/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/a98fa599-ea86-4af3-b51e-bb89cf4f421d/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/43e25937-6d1e-4fa8-a28a-f9a82ab37530/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/6b610437-d030-497e-9a5b-d5d0e9d297c1/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/d9fa4507-f16d-4bd5-bc7c-83a8efc0887e/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/80bf1600-8d01-4b70-99ad-516daeda05f0/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/5b6b9b3a-e3a5-4564-a0ae-54bd340ea3d2/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/d329355f-61cc-4a82-9a55-cac77f684a23/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25083/7b1c35d5-ee61-4842-807c-3d8949d2434e/Statue-Bamileke-Art-Africain_th.jpg', None)", 
"
                        Siège de dignitaire Bamileke Kuo koko ","
Dans l' art africain , les Bamiléké démontrent leur savoir-faire par l'usage de perles multicolores.


Ce petit siège monoxyle nommé   rü mfo   chez les Bamum, présente un motif animalier.
Une structure de base est sculptée dans le bois pour ensuite être recouverte, au-dessus d'une toile de rabane, d'un treillis de perles importées. br>
 
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun ,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun, ou Bamum et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes,s'organisent autour du  Fon qui dispose de larges pouvoirs.
Chez les Bamilékés d'origine Soudano-Bantous comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Les sièges, dont l'ornementation variait selon le statut social, étaient sculptés pour l'usage courant ou pour les réunions des Sociétés Coutumières. 
(Les Bamiléké, R. Lecoq)
                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/25162/7376ae15-4ddc-4dc3-a75a-5709113b172b/Tabouret-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/25162/7376ae15-4ddc-4dc3-a75a-5709113b172b/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/3af3e289-e324-41c6-be63-4f541f27ee0b/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/1f4359e1-bc72-4ac8-8c12-39bfb86366f2/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/da8c8ef0-065f-4369-929e-bbcbfa4d8860/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/2b3ed5f5-068e-4082-9055-89b610339c56/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/a99cf410-36da-41ae-ae47-edb1a41e0d29/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/a3b46080-fc71-45cc-8490-c2441104ead9/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/2ecb7129-2e3d-4e69-9fde-71b6f0faf6d1/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/25162/d2ddfef0-e636-465c-b6aa-e15d47ec4c49/Tabouret-Bamileke-Art-Africain_th.jpg', None)", , , 
"
                        Statuette perlée Bamileke ","
Ex-collection art tribal belge.Couleurs et chefferies dans l'art africain.



 Cette statuette masculine d'ancêtre, trapue , a d'abord été sculptée dans le bois pour ensuite être recouverte d'une toile de rabane incrustée de perles multicolores importées, à dominante rouge . Elle arbore un bonnet en pointe sur laquelle une toile de jute a été appliquée. Les mains sont placées sur son bas-ventre   La physionomie affiche une expressivité distinctive de l'art tribal africain des régions du Grassland.
Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi  Bamiléké , également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/14319/0785b8fb-7fee-4742-aecb-aa66507850ae/Statue-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/14319/0785b8fb-7fee-4742-aecb-aa66507850ae/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/521a3f8d-39b2-4001-a242-2b12070f9246/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/eba1a7ad-6011-42a6-bf82-d57c69eab831/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/fc68f2e3-c4fd-4954-8a88-dd1078311c92/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/20b431b4-e665-4850-8320-55e2e6f5f0aa/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/4ce9cba2-9439-4efa-ae8b-7d14a0f2daa6/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/845383a3-804d-49b6-9d2a-7e1deff6a812/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/d28997b8-df90-4275-8e9c-e30939de7031/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/139c201f-66b7-4473-aba2-c688bbdb0a87/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14319/50a8bd7b-421a-4098-96d8-f95d3750539a/Statue-Bamileke-Art-Africain_th.jpg', None)", , 
